Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment
H3528,806,7010,9003,CT,Hartford,112
H3528,806,7020,9005,CT,Litchfield,67
H3528,806,7030,9007,CT,Middlesex,45
H3528,806,7040,9009,CT,New Haven,54
H3528,806,7050,9011,CT,New London,18
H3528,806,7060,9013,CT,Tolland,28
H3916,802,7010,9003,CT,Hartford,14
H3916,802,7030,9007,CT,Middlesex,24
H3916,802,7040,9009,CT,New Haven,273
H4003,34,7010,9003,CT,Hartford,12
H4003,34,7040,9009,CT,New Haven,13
H4036,805,7000,9001,CT,Fairfield,17
H4036,805,7010,9003,CT,Hartford,27
H4036,805,7030,9007,CT,Middlesex,19
H4036,805,7040,9009,CT,New Haven,313
H4909,804,7000,9001,CT,Fairfield,19
H4909,804,7030,9007,CT,Middlesex,20
H4909,804,7040,9009,CT,New Haven,490
H4909,805,7000,9001,CT,Fairfield,5215
H4909,805,7010,9003,CT,Hartford,5029
H4909,805,7020,9005,CT,Litchfield,1398
H4909,805,7030,9007,CT,Middlesex,1523
H4909,805,7040,9009,CT,New Haven,4695
H4909,805,7050,9011,CT,New London,3136
H4909,805,7060,9013,CT,Tolland,1068
H4909,805,7070,9015,CT,Windham,677
H5216,805,7010,9003,CT,Hartford,23
H5216,805,7020,9005,CT,Litchfield,108
H5216,805,7040,9009,CT,New Haven,12
H5216,806,7000,9001,CT,Fairfield,63
H5216,806,7010,9003,CT,Hartford,89
H5216,806,7020,9005,CT,Litchfield,16
H5216,806,7030,9007,CT,Middlesex,20
H5216,806,7040,9009,CT,New Haven,61
H5273,1,7010,9003,CT,Hartford,729
H5273,1,7020,9005,CT,Litchfield,72
H5273,1,7040,9009,CT,New Haven,186
H5273,1,7050,9011,CT,New London,156
H5273,1,7060,9013,CT,Tolland,180
H5273,1,7070,9015,CT,Windham,90
H5273,2,7010,9003,CT,Hartford,105
H5273,2,7040,9009,CT,New Haven,39
H5273,2,7050,9011,CT,New London,33
H5273,2,7060,9013,CT,Tolland,30
H5273,2,7070,9015,CT,Windham,13
H5273,3,7010,9003,CT,Hartford,77
H5273,3,7040,9009,CT,New Haven,18
H5273,3,7050,9011,CT,New London,18
H5273,3,7060,9013,CT,Tolland,13
H5273,3,7070,9015,CT,Windham,18
H5521,13,7000,9001,CT,Fairfield,1013
H5521,13,7010,9003,CT,Hartford,543
H5521,13,7020,9005,CT,Litchfield,254
H5521,13,7030,9007,CT,Middlesex,42
H5521,13,7040,9009,CT,New Haven,996
H5521,13,7050,9011,CT,New London,59
H5521,13,7060,9013,CT,Tolland,71
H5521,13,7070,9015,CT,Windham,21
H5521,120,7000,9001,CT,Fairfield,14
H5521,157,7000,9001,CT,Fairfield,8582
H5521,157,7010,9003,CT,Hartford,6981
H5521,157,7020,9005,CT,Litchfield,3050
H5521,157,7030,9007,CT,Middlesex,1105
H5521,157,7040,9009,CT,New Haven,11527
H5521,157,7050,9011,CT,New London,1169
H5521,157,7060,9013,CT,Tolland,1057
H5521,157,7070,9015,CT,Windham,587
H5521,801,7000,9001,CT,Fairfield,1088
H5521,801,7010,9003,CT,Hartford,541
H5521,801,7020,9005,CT,Litchfield,239
H5521,801,7030,9007,CT,Middlesex,259
H5521,801,7040,9009,CT,New Haven,3763
H5521,801,7050,9011,CT,New London,150
H5521,801,7060,9013,CT,Tolland,31
H5521,801,7070,9015,CT,Windham,32
H5521,802,7000,9001,CT,Fairfield,1132
H5521,802,7010,9003,CT,Hartford,2178
H5521,802,7020,9005,CT,Litchfield,211
H5521,802,7030,9007,CT,Middlesex,271
H5521,802,7040,9009,CT,New Haven,790
H5521,802,7050,9011,CT,New London,328
H5521,802,7060,9013,CT,Tolland,327
H5521,802,7070,9015,CT,Windham,146
H5793,1,7000,9001,CT,Fairfield,265
H5793,1,7010,9003,CT,Hartford,842
H5793,1,7020,9005,CT,Litchfield,441
H5793,1,7040,9009,CT,New Haven,293
H5793,1,7060,9013,CT,Tolland,68
H5793,10,7000,9001,CT,Fairfield,1611
H5793,10,7010,9003,CT,Hartford,1238
H5793,10,7020,9005,CT,Litchfield,462
H5793,10,7030,9007,CT,Middlesex,53
H5793,10,7040,9009,CT,New Haven,2473
H5793,10,7050,9011,CT,New London,113
H5793,10,7060,9013,CT,Tolland,139
H5793,10,7070,9015,CT,Windham,38
H5793,12,7000,9001,CT,Fairfield,262
H5793,12,7010,9003,CT,Hartford,403
H5793,12,7020,9005,CT,Litchfield,78
H5793,12,7030,9007,CT,Middlesex,41
H5793,12,7040,9009,CT,New Haven,431
H5793,12,7050,9011,CT,New London,65
H5793,12,7060,9013,CT,Tolland,50
H5793,12,7070,9015,CT,Windham,29
H5854,7,7010,9003,CT,Hartford,577
H5854,8,7000,9001,CT,Fairfield,1274
H5854,8,7010,9003,CT,Hartford,1986
H5854,8,7020,9005,CT,Litchfield,367
H5854,8,7030,9007,CT,Middlesex,305
H5854,8,7040,9009,CT,New Haven,2214
H5854,8,7050,9011,CT,New London,288
H5854,8,7060,9013,CT,Tolland,220
H5854,8,7070,9015,CT,Windham,197
H5854,9,7000,9001,CT,Fairfield,490
H5854,9,7020,9005,CT,Litchfield,115
H5854,9,7030,9007,CT,Middlesex,51
H5854,9,7040,9009,CT,New Haven,612
H5854,9,7070,9015,CT,Windham,42
H5854,10,7000,9001,CT,Fairfield,1903
H5854,10,7010,9003,CT,Hartford,2086
H5854,10,7020,9005,CT,Litchfield,639
H5854,10,7030,9007,CT,Middlesex,658
H5854,10,7040,9009,CT,New Haven,3688
H5854,10,7070,9015,CT,Windham,275
H5854,11,7000,9001,CT,Fairfield,396
H5854,11,7010,9003,CT,Hartford,794
H5854,11,7020,9005,CT,Litchfield,144
H5854,11,7030,9007,CT,Middlesex,135
H5854,11,7040,9009,CT,New Haven,894
H5854,11,7050,9011,CT,New London,369
H5854,11,7060,9013,CT,Tolland,159
H5854,11,7070,9015,CT,Windham,108
H5854,12,7000,9001,CT,Fairfield,44
