"Contract_ID","Plan_ID","Segment_ID","Year","Contract_Plan_Segment","1","2","3","4","5","6","7","State_Enrollment","State_Eligibles","Star_Rating_3","Star_Rating_3.5","Star_Rating_4","Star_Rating_4.5"
"H1914",1,0,2020,"H1914-1-0",2.05608079031779e-09,2.13264619332273e-09,30.6541249420636,2.27889295944135e-09,0.0391426613908744,2.52724428424528e-09,0.0170376386390204,2362,689828,0,0,0,0
"H1914",1,0,2021,"H1914-1-0",3.38360464764917e-06,2.12514388620858e-09,30.7063152098034,2.27118355170682e-09,1.14723039607061e-08,2.51922698599288e-09,0.0993714715946779,4452,703271,0,0,0,0
"H1914",1,0,2022,"H1914-1-0",1.21770060025141e-05,2.04873157779186e-09,31.8970077250451,1.54696568690974e-06,1.10619439702686e-08,2.42795349402232e-09,0.0476320698717845,4761,716961,1,0,0,0
"H1914",2,0,2021,"H1914-2-0",2.05400261374913e-09,0.615076963291972,29.6799144004928,2.26919918498578e-09,1.13833789143864e-08,3.40693544949546e-09,0.423474841092803,1794,703271,0,0,0,0
"H1914",2,0,2022,"H1914-2-0",1.92380074790359e-09,1.08867514038397,31.1639607234354,2.89829088420561e-06,1.05992015500479e-08,2.35141527207558e-09,0.4974276852649,2404,716961,1,0,0,0
"H1914",3,0,2021,"H1914-3-0",1.98456526355819e-09,6.82215605413122,17.4540175709968,2.11927485153303e-09,9.90053705809547e-09,1.5700355480866,6.40254205870175,106,703271,0,0,0,0
"H1914",4,0,2022,"H1914-4-0",4.15360604569975e-08,2.00877259184979e-09,32.5713650746719,2.14626915424527e-09,1.08479988359521e-08,2.38001407819949e-09,1.92100505833681e-05,367,716961,1,0,0,0
"H2752",1,0,2022,"H2752-1-0",9.32358267718745,6.28796428877653,2.12697773912303,9.96513200629098,9.61600556684574e-09,3.48452914897746,2.82029870170643e-09,42,716961,0,0,0,0
"H2836",5,0,2021,"H2836-5-0",11.7545209549689,6.54781181813887,9.77646371228658,1.82352169869925e-09,9.17560337551076e-09,2.03541778584231e-09,6.83269330525798,1588,703271,0,0,0,0
"H2836",5,0,2022,"H2836-5-0",11.5028448078733,7.00930975211948,9.48948400314938,8.73239911421571e-09,9.21434731759646e-09,2.04726802338401e-09,6.4666839965414,7087,716961,0,0,0,0
"H3442",1,0,2020,"H3442-1-0",19.8047601678976,0.173753582973841,7.81310158111719,2.02772783063966e-09,1.07556084221045e-08,2.26427225954676e-05,4.71770074484707,9103,689828,0,0,0,0
"H3442",1,0,2021,"H3442-1-0",21.360741319073,1.80653887083935e-09,7.467693002518,1.853090298983e-09,1.05226332498484e-08,2.06530005565409e-09,4.44359342126897,19090,703271,0,0,0,0
"H3442",1,0,2022,"H3442-1-0",19.9549778611816,0.455533463504196,8.25613498169454,0.000557541432998615,1.03902841416611e-08,2.07187830430605e-09,4.84072875601548,25694,716961,0,1,0,0
"H3528",10,0,2019,"H3528-10-0",2.60840996324912e-06,15.0638767973465,1.58038488049879,11.4032752680011,7.24926040943407,1.07397694175598e-07,1.50315756334472,23131,678880,0,0,1,0
"H3528",10,0,2020,"H3528-10-0",1.62661772920882e-09,26.3869399827791,6.86274165587496e-08,5.76657766160339,0.228715482600675,1.66246881960643,0.701503580300714,12535,689828,0,0,0,1
"H3528",10,0,2021,"H3528-10-0",2.8969715949904e-09,34.2678180730421,1.83353323968659e-09,1.48234280126477,0.157133944865304,7.15943306523664e-05,1.11248842317139e-06,8377,703271,0,0,1,0
"H3528",10,0,2022,"H3528-10-0",0.011641510044592,30.2420299780662,0.0556559427166578,4.08914627791079,6.71108334424021e-09,0.172027963398845,0.14672318643794,6668,716961,0,0,1,0
"H3528",11,1,2019,"H3528-11-1",1.96143595606566e-09,3.93682522576674,2.01772172394432e-09,2.1829023891869e-09,7.12154580760653,2.65693098043564e-09,33.9788192288643,8081,678880,0,0,1,0
"H3528",11,1,2020,"H3528-11-1",1.90541908348015e-09,6.9490609017375,1.98720723331789e-09,2.10161461790396e-09,0.218082819851253,4.77255326201139e-05,32.4329081715306,7436,689828,0,0,0,1
"H3528",11,1,2021,"H3528-11-1",1.9186880869895e-09,3.80387860505697,0.0178564783246783,0.0543311304110035,8.84633653648982e-09,0.997847035671616,35.3474459627023,6732,703271,0,0,1,0
"H3528",11,1,2022,"H3528-11-1",1.27246244674978e-08,4.68753467181647,0.151315815005366,0.179166593806452,8.89207210704537e-09,0.898595089411495,33.4414678245406,5911,716961,0,1,0,0
"H3528",11,2,2019,"H3528-11-2",1.95895152631097e-09,3.96274519289981,2.01538170220894e-09,2.17980963376104e-09,7.12635820748343,2.6528284781524e-09,33.9923737707169,10282,678880,0,0,1,0
"H3528",11,2,2020,"H3528-11-2",1.88265008783105e-09,5.93810679229776,1.95275582298625e-09,2.09297696460326e-09,0.217236469665133,0.000175108218446511,34.4235938073176,8731,689828,0,0,0,1
"H3528",11,2,2021,"H3528-11-2",1.91718274119967e-09,3.88136568347827,0.0119466774358056,0.0196200495082476,8.83264693224256e-09,0.97035892077194,35.3627506408178,7613,703271,0,0,1,0
"H3528",11,2,2022,"H3528-11-2",1.50367933856951e-07,3.73285586580055,1.94286300604812e-09,1.43958409316597,8.64772399339398e-09,2.28540353399592,33.3480771297854,6503,716961,0,0,1,0
"H3528",12,1,2019,"H3528-12-1",1.83333689053936e-09,20.4536428853734,3.74848957187669,1.82347277297059e-09,7.15016204934585,2.0251879324434e-09,7.93739641081536,1521,678880,0,0,1,0
"H3528",12,2,2019,"H3528-12-2",1.83173207056457e-09,20.5032392661615,3.70148028708933,1.82162722070083e-09,7.15493144828282,2.02316360702e-09,7.96324902314254,1160,678880,0,0,1,0
"H3528",13,1,2019,"H3528-13-1",2.02820211846802e-09,23.6521501600308,2.38537379437577e-09,2.60980214553883,7.20666387596659,2.09870619268277e-09,2.91740117686235e-09,1155,678880,0,0,1,0
"H3528",13,2,2019,"H3528-13-2",2.56856980135021e-09,23.6081024283966,2.38711313276248e-09,2.63617259389747,7.20332022646831,2.10027587116033e-09,2.91979413070141e-09,981,678880,0,0,1,0
"H3528",14,0,2019,"H3528-14-0",1.25105050756651,22.8412477074553,1.95929381263993e-09,7.83111631967472,7.30660778981048,0.613763789927043,0.0682748899678197,500,678880,0,0,1,0
"H3528",14,0,2020,"H3528-14-0",4.66192090415963,24.9178796690651,4.69210210483541e-05,2.13926199548006,0.369664023568277,0.527719435386101,0.0368264305891659,11350,689828,0,0,0,1
"H3528",14,0,2021,"H3528-14-0",5.08034820080011,25.3562070914814,1.32555129794936,1.40961277838979,0.12944273586537,0.471558060127416,0.000267401079443484,12620,703271,0,0,1,0
"H3528",14,0,2022,"H3528-14-0",9.99072970096095,20.8747699724756,1.89724032179175,1.06077547072152,0.0860136868544068,0.270536976823732,2.37348195005536e-09,12575,716961,0,0,1,0
