"Contract_ID","Plan_ID","Segment_ID","Year","Premium","Annual_Deductible","In_MOOP","Out_MOOP","In_HP_Deductible","Out_HP_Deductible","In_Inpatient","Out_Inpatient","Out_Inpatient_Coin","In_Primary_Min","In_Primary_Max","Out_Primary_Min","Out_Primary_Max","Out_Primary_Coin","In_Specialist_Min","In_Specialist_Max","Out_Specialist_Min","Out_Specialist_Max","Out_Specialist_Coin","Emergency_Care","Urgent_Care_Min","Urgent_Care_Max","In_Ambulance","In_Ambulance_Coin","Out_Ambulance_Min","Out_Ambulance_Max","Out_Ambulance_Coin","In_Vision_Exam","Out_Vision_Exam","Out_Vision_Exam_Coin","In_Hearing_Exam","Out_Hearing_Exam_Min","Out_Hearing_Exam_Max","Out_Hearing_Exam_Coin","Tier1","Tier2","Tier3","Tier4","Tier4_Coin","Tier5_Coin","OTC_Yearly"
"H1914",3,0,2021,0,0,6700,10000,0,0,450,NA,0.2,0,0,0,0,NA,50,50,50,50,NA,90,25,25,280,NA,280,280,NA,NA,NA,NA,50,50,50,NA,0,10,35,NA,0.48,0.33,220
"H2836",5,0,2021,25,95,7550,11300,1000,1000,325,NA,0.4,5,5,35,35,NA,45,45,60,60,NA,90,30,30,295,NA,295,295,NA,0,0,NA,45,60,60,NA,4,13,42,95,NA,0.31,140
"H3442",1,0,2021,0,0,6700,10000,1000,1000,750,NA,0.3,0,0,20,20,NA,35,35,55,55,NA,90,30,40,250,NA,250,250,NA,0,55,NA,0,55,55,NA,0,0,47,100,NA,0.33,200
"H3528",3,0,2021,0,NA,6000,NA,0,0,295,295,NA,0,0,0,0,NA,10,10,10,10,NA,90,10,10,50,NA,50,50,NA,10,0.1,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"H3528",6,0,2021,241,300,5300,10000,0,0,285,450,NA,15,15,40,40,NA,30,30,40,40,NA,90,30,30,200,NA,200,200,NA,30,NA,NA,30,40,40,NA,2,10,42,95,NA,0.27,NA
"H3528",10,0,2021,0,275,7550,NA,0,0,490,490,NA,25,25,25,25,NA,50,50,50,50,NA,90,50,50,415,NA,415,415,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,NA
"H3528",14,0,2021,0,445,7550,NA,0,0,490,490,NA,10,10,10,10,NA,45,45,45,45,NA,90,45,45,385,NA,385,385,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.25,NA
"H0342",1,0,2021,0,0,7550,7550,1000,1000,795,NA,0.3,0,0,20,20,NA,45,45,50,50,NA,90,45,45,325,NA,325,325,NA,0,NA,0.3,45,50,50,NA,0,0,47,100,NA,0.33,200
"H0712",19,0,2021,0,0,5500,NA,175,NA,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,25,25,260,NA,260,260,NA,0,0,NA,45,45,45,NA,1,6,47,NA,0.48,0.33,100
"H0712",20,0,2021,21.4,445,5500,NA,0,0,375,375,NA,0,0,0,0,NA,30,30,30,30,NA,90,25,25,250,NA,250,250,NA,0,0,NA,30,30,30,NA,0,20,47,NA,0.5,0.25,320
"H0755",30,0,2021,94,100,4700,NA,0,0,345,345,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.31,240
"H0755",31,0,2021,29,150,6000,NA,0,0,395,395,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,200
"H0755",32,0,2021,0,NA,6000,NA,0,0,395,395,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,200
"H0755",33,0,2021,0,175,6700,NA,0,0,450,450,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,160
"H1914",1,0,2021,0,100,5000,5000,0,0,325,NA,0.3,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.4,40,50,50,NA,0,8,47,NA,0.45,0.31,204
"H3528",11,2,2021,69,300,5500,10000,0,0,465,NA,0.5,5,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,200
"H3528",15,0,2021,134,300,6000,10000,0,0,375,NA,0.3,15,15,50,50,NA,35,35,50,50,NA,90,35,35,300,NA,300,300,NA,35,NA,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H3528",16,0,2021,183,300,3400,NA,0,0,345,345,NA,10,10,10,10,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,NA,NA,30,30,30,NA,2,10,42,95,NA,0.27,NA
"H3528",17,0,2021,0,445,7550,7550,1000,NA,495,495,NA,25,25,25,25,NA,50,50,50,50,NA,90,50,50,395,NA,395,395,NA,10,10,NA,40,40,40,NA,2,10,42,95,NA,0.25,300
"H5273",1,0,2021,0,0,7550,NA,0,0,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,0,45,300,NA,300,300,NA,15,15,NA,45,45,45,NA,0,0,47,100,NA,0.33,100
"H5273",2,0,2021,30,0,5900,NA,0,0,375,375,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,250,NA,250,250,NA,15,15,NA,40,40,40,NA,0,0,47,100,NA,0.33,160
"H5273",3,0,2021,90,0,4700,NA,0,0,250,250,NA,0,0,0,0,NA,30,30,30,30,NA,90,0,30,200,NA,200,200,NA,15,15,NA,30,30,30,NA,0,0,47,100,NA,0.33,160
"H5521",13,0,2021,99,250,7550,7550,0,0,395,NA,0.4,10,10,NA,NA,0.4,45,45,NA,NA,0.4,90,10,45,295,NA,295,295,NA,0,NA,0.4,45,NA,NA,0.4,0,5,47,100,NA,0.28,180
