"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"146","H3528",11,7030,9007,"CT","Middlesex",2006,"2019"
"147","H3528",11,7040,9009,"CT","New Haven",5239,"2019"
"148","H3528",11,7050,9011,"CT","New London",1554,"2019"
"149","H3528",11,7060,9013,"CT","Tolland",880,"2019"
"150","H3528",11,7070,9015,"CT","Windham",617,"2019"
"151","H3528",12,7010,9003,"CT","Hartford",871,"2019"
"152","H3528",12,7020,9005,"CT","Litchfield",174,"2019"
"153","H3528",12,7030,9007,"CT","Middlesex",327,"2019"
"154","H3528",12,7040,9009,"CT","New Haven",892,"2019"
"155","H3528",12,7050,9011,"CT","New London",219,"2019"
"156","H3528",12,7060,9013,"CT","Tolland",149,"2019"
"157","H3528",12,7070,9015,"CT","Windham",49,"2019"
"158","H3528",13,7010,9003,"CT","Hartford",667,"2019"
"159","H3528",13,7020,9005,"CT","Litchfield",123,"2019"
"160","H3528",13,7030,9007,"CT","Middlesex",238,"2019"
"161","H3528",13,7040,9009,"CT","New Haven",787,"2019"
"162","H3528",13,7050,9011,"CT","New London",140,"2019"
"163","H3528",13,7060,9013,"CT","Tolland",127,"2019"
"164","H3528",13,7070,9015,"CT","Windham",54,"2019"
"165","H3528",14,7000,9001,"CT","Fairfield",109,"2019"
"166","H3528",14,7010,9003,"CT","Hartford",68,"2019"
"167","H3528",14,7020,9005,"CT","Litchfield",28,"2019"
"168","H3528",14,7030,9007,"CT","Middlesex",27,"2019"
"169","H3528",14,7040,9009,"CT","New Haven",207,"2019"
"170","H3528",14,7050,9011,"CT","New London",61,"2019"
"171","H3528",801,7000,9001,"CT","Fairfield",35,"2019"
"172","H3528",801,7040,9009,"CT","New Haven",310,"2019"
"173","H3528",806,7000,9001,"CT","Fairfield",39,"2019"
"174","H3528",806,7010,9003,"CT","Hartford",118,"2019"
"175","H3528",806,7020,9005,"CT","Litchfield",69,"2019"
"176","H3528",806,7030,9007,"CT","Middlesex",50,"2019"
"177","H3528",806,7040,9009,"CT","New Haven",84,"2019"
"178","H3528",806,7050,9011,"CT","New London",19,"2019"
"179","H3528",806,7060,9013,"CT","Tolland",29,"2019"
"180","H3916",802,7030,9007,"CT","Middlesex",23,"2019"
"181","H3916",802,7040,9009,"CT","New Haven",283,"2019"
"182","H4003",34,7010,9003,"CT","Hartford",11,"2019"
"183","H4036",805,7000,9001,"CT","Fairfield",18,"2019"
"184","H4036",805,7010,9003,"CT","Hartford",25,"2019"
"185","H4036",805,7030,9007,"CT","Middlesex",21,"2019"
"186","H4036",805,7040,9009,"CT","New Haven",346,"2019"
"187","H4909",804,7000,9001,"CT","Fairfield",13,"2019"
