Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment,Year
H0710,829,7020,9005,CT,Litchfield,*,2020
H0710,829,7030,9007,CT,Middlesex,*,2020
H0710,829,7040,9009,CT,New Haven,*,2020
H0710,829,7050,9011,CT,New London,*,2020
H0710,829,7060,9013,CT,Tolland,*,2020
H0710,829,7070,9015,CT,Windham,*,2020
H0710,830,7000,9001,CT,Fairfield,*,2020
H0710,830,7010,9003,CT,Hartford,*,2020
H0710,830,7020,9005,CT,Litchfield,*,2020
H0710,830,7030,9007,CT,Middlesex,*,2020
H0710,830,7040,9009,CT,New Haven,*,2020
H0710,830,7050,9011,CT,New London,*,2020
H0710,830,7060,9013,CT,Tolland,*,2020
H0710,830,7070,9015,CT,Windham,*,2020
H0710,831,7000,9001,CT,Fairfield,*,2020
H0710,831,7010,9003,CT,Hartford,*,2020
H0710,831,7020,9005,CT,Litchfield,*,2020
H0710,831,7030,9007,CT,Middlesex,*,2020
H0710,831,7040,9009,CT,New Haven,*,2020
H0710,831,7050,9011,CT,New London,*,2020
H0710,831,7060,9013,CT,Tolland,*,2020
H0710,831,7070,9015,CT,Windham,*,2020
H0712,5,7000,9001,CT,Fairfield,1005,2020
H0712,5,7010,9003,CT,Hartford,1324,2020
H0712,5,7020,9005,CT,Litchfield,30,2020
H0712,5,7030,9007,CT,Middlesex,42,2020
H0712,5,7040,9009,CT,New Haven,418,2020
H0712,5,7050,9011,CT,New London,97,2020
H0712,5,7060,9013,CT,Tolland,23,2020
H0712,19,7000,9001,CT,Fairfield,142,2020
H0712,19,7010,9003,CT,Hartford,476,2020
H0712,19,7020,9005,CT,Litchfield,27,2020
H0712,19,7030,9007,CT,Middlesex,21,2020
H0712,19,7040,9009,CT,New Haven,1200,2020
H0712,19,7050,9011,CT,New London,72,2020
H0712,19,7060,9013,CT,Tolland,49,2020
H0712,20,7000,9001,CT,Fairfield,632,2020
H0712,20,7010,9003,CT,Hartford,585,2020
H0712,20,7020,9005,CT,Litchfield,36,2020
H0712,20,7030,9007,CT,Middlesex,37,2020
H0712,20,7040,9009,CT,New Haven,344,2020
H0712,20,7050,9011,CT,New London,76,2020
H0712,20,7060,9013,CT,Tolland,91,2020
H0712,28,7000,9001,CT,Fairfield,232,2020
H0712,28,7010,9003,CT,Hartford,297,2020
H0712,28,7040,9009,CT,New Haven,*,2020
H0712,29,7000,9001,CT,Fairfield,108,2020
H0712,29,7010,9003,CT,Hartford,148,2020
H0712,29,7020,9005,CT,Litchfield,18,2020
H0712,29,7030,9007,CT,Middlesex,11,2020
H0712,29,7040,9009,CT,New Haven,236,2020
H0712,29,7050,9011,CT,New London,28,2020
H0712,29,7060,9013,CT,Tolland,*,2020
H0755,30,7000,9001,CT,Fairfield,1944,2020
H0755,30,7010,9003,CT,Hartford,2093,2020
H0755,30,7020,9005,CT,Litchfield,214,2020
H0755,30,7030,9007,CT,Middlesex,217,2020
H0755,30,7040,9009,CT,New Haven,1235,2020
H0755,30,7050,9011,CT,New London,285,2020
H0755,30,7060,9013,CT,Tolland,232,2020
H0755,30,7070,9015,CT,Windham,198,2020
H0755,31,7000,9001,CT,Fairfield,4440,2020
H0755,31,7010,9003,CT,Hartford,7944,2020
