"Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"H3276",2,7000,9001,"CT","Fairfield","323",2022
"H3276",2,7010,9003,"CT","Hartford","443",2022
"H3276",2,7020,9005,"CT","Litchfield","85",2022
"H3276",2,7030,9007,"CT","Middlesex","72",2022
"H3276",2,7040,9009,"CT","New Haven","450",2022
"H3276",2,7050,9011,"CT","New London","143",2022
"H3276",2,7060,9013,"CT","Tolland","33",2022
"H3276",2,7070,9015,"CT","Windham","69",2022
"H3276",3,7000,9001,"CT","Fairfield","14",2022
"H3276",3,7040,9009,"CT","New Haven","13",2022
"H3442",1,7000,9001,"CT","Fairfield","5216",2022
"H3442",1,7010,9003,"CT","Hartford","7107",2022
"H3442",1,7020,9005,"CT","Litchfield","1425",2022
"H3442",1,7030,9007,"CT","Middlesex","1896",2022
"H3442",1,7040,9009,"CT","New Haven","5004",2022
"H3442",1,7050,9011,"CT","New London","2482",2022
"H3442",1,7060,9013,"CT","Tolland","1190",2022
"H3442",1,7070,9015,"CT","Windham","1374",2022
"H3528",3,7000,9001,"CT","Fairfield","139",2022
"H3528",3,7010,9003,"CT","Hartford","309",2022
"H3528",3,7020,9005,"CT","Litchfield","76",2022
"H3528",3,7030,9007,"CT","Middlesex","171",2022
"H3528",3,7040,9009,"CT","New Haven","323",2022
"H3528",3,7050,9011,"CT","New London","98",2022
"H3528",3,7060,9013,"CT","Tolland","69",2022
"H3528",3,7070,9015,"CT","Windham","54",2022
"H3528",6,7000,9001,"CT","Fairfield","100",2022
"H3528",6,7010,9003,"CT","Hartford","88",2022
"H3528",6,7020,9005,"CT","Litchfield","21",2022
"H3528",6,7030,9007,"CT","Middlesex","20",2022
"H3528",6,7040,9009,"CT","New Haven","59",2022
"H3528",6,7050,9011,"CT","New London","26",2022
"H3528",6,7060,9013,"CT","Tolland","16",2022
"H3528",10,7000,9001,"CT","Fairfield","279",2022
"H3528",10,7010,9003,"CT","Hartford","2687",2022
"H3528",10,7020,9005,"CT","Litchfield","348",2022
"H3528",10,7030,9007,"CT","Middlesex","1060",2022
"H3528",10,7040,9009,"CT","New Haven","967",2022
"H3528",10,7050,9011,"CT","New London","637",2022
"H3528",10,7060,9013,"CT","Tolland","420",2022
"H3528",10,7070,9015,"CT","Windham","270",2022
"H3528",11,7000,9001,"CT","Fairfield","1756",2022
"H3528",11,7010,9003,"CT","Hartford","3201",2022
"H3528",11,7020,9005,"CT","Litchfield","663",2022
"H3528",11,7030,9007,"CT","Middlesex","1414",2022
"H3528",11,7040,9009,"CT","New Haven","3379",2022
"H3528",11,7050,9011,"CT","New London","1022",2022
"H3528",11,7060,9013,"CT","Tolland","633",2022
"H3528",11,7070,9015,"CT","Windham","346",2022
"H3528",14,7000,9001,"CT","Fairfield","1365",2022
"H3528",14,7010,9003,"CT","Hartford","3909",2022
"H3528",14,7020,9005,"CT","Litchfield","847",2022
"H3528",14,7030,9007,"CT","Middlesex","1242",2022
"H3528",14,7040,9009,"CT","New Haven","2879",2022
"H3528",14,7050,9011,"CT","New London","1063",2022
"H3528",14,7060,9013,"CT","Tolland","951",2022
"H3528",14,7070,9015,"CT","Windham","319",2022
"H3528",15,7000,9001,"CT","Fairfield","13",2022
"H3528",15,7010,9003,"CT","Hartford","414",2022
"H3528",15,7020,9005,"CT","Litchfield","88",2022
"H3528",15,7030,9007,"CT","Middlesex","166",2022
"H3528",15,7040,9009,"CT","New Haven","498",2022
"H3528",15,7050,9011,"CT","New London","121",2022
"H3528",15,7060,9013,"CT","Tolland","69",2022
"H3528",15,7070,9015,"CT","Windham","26",2022
"H3528",16,7010,9003,"CT","Hartford","444",2022
"H3528",16,7020,9005,"CT","Litchfield","75",2022
"H3528",16,7030,9007,"CT","Middlesex","129",2022
"H3528",16,7040,9009,"CT","New Haven","498",2022
"H3528",16,7050,9011,"CT","New London","84",2022
"H3528",16,7060,9013,"CT","Tolland","80",2022
"H3528",16,7070,9015,"CT","Windham","35",2022
"H3528",17,7000,9001,"CT","Fairfield","27",2022
"H3528",17,7010,9003,"CT","Hartford","72",2022
"H3528",17,7030,9007,"CT","Middlesex","11",2022
"H3528",17,7040,9009,"CT","New Haven","66",2022
"H3528",17,7050,9011,"CT","New London","25",2022
"H3528",801,7000,9001,"CT","Fairfield","28",2022
"H3528",801,7040,9009,"CT","New Haven","229",2022
"H3528",806,7000,9001,"CT","Fairfield","21",2022
"H3528",806,7010,9003,"CT","Hartford","97",2022
"H3528",806,7020,9005,"CT","Litchfield","64",2022
"H3528",806,7030,9007,"CT","Middlesex","33",2022
"H3528",806,7040,9009,"CT","New Haven","51",2022
"H3528",806,7060,9013,"CT","Tolland","25",2022
"H3916",802,7010,9003,"CT","Hartford","12",2022
"H3916",802,7030,9007,"CT","Middlesex","24",2022
"H3916",802,7040,9009,"CT","New Haven","241",2022
"H4003",34,7040,9009,"CT","New Haven","12",2022
"H4036",801,7000,9001,"CT","Fairfield","151",2022
"H4036",801,7010,9003,"CT","Hartford","155",2022
"H4036",801,7020,9005,"CT","Litchfield","39",2022
"H4036",801,7030,9007,"CT","Middlesex","79",2022
"H4036",801,7040,9009,"CT","New Haven","1217",2022
"H4036",801,7050,9011,"CT","New London","182",2022
"H4036",801,7060,9013,"CT","Tolland","27",2022
"H4036",802,7000,9001,"CT","Fairfield","1794",2022
"H4036",802,7010,9003,"CT","Hartford","797",2022
"H4036",802,7020,9005,"CT","Litchfield","129",2022
"H4036",802,7030,9007,"CT","Middlesex","122",2022
"H4036",802,7040,9009,"CT","New Haven","746",2022
"H4036",802,7050,9011,"CT","New London","1585",2022
"H4036",802,7060,9013,"CT","Tolland","243",2022
"H4036",802,7070,9015,"CT","Windham","156",2022
"H5216",59,7010,9003,"CT","Hartford","92",2022
"H5216",59,7060,9013,"CT","Tolland","19",2022
"H5216",288,7010,9003,"CT","Hartford","114",2022
"H5216",289,7010,9003,"CT","Hartford","331",2022
"H5216",289,7060,9013,"CT","Tolland","52",2022
"H5216",290,7010,9003,"CT","Hartford","324",2022
"H5216",290,7060,9013,"CT","Tolland","23",2022
"H5216",805,7000,9001,"CT","Fairfield","114",2022
"H5216",805,7010,9003,"CT","Hartford","140",2022
"H5216",805,7020,9005,"CT","Litchfield","136",2022
"H5216",805,7030,9007,"CT","Middlesex","55",2022
"H5216",805,7040,9009,"CT","New Haven","109",2022
"H5216",805,7050,9011,"CT","New London","27",2022
"H5216",805,7060,9013,"CT","Tolland","20",2022
"H5216",805,7070,9015,"CT","Windham","11",2022
"H5216",806,7000,9001,"CT","Fairfield","33",2022
"H5216",806,7010,9003,"CT","Hartford","36",2022
"H5216",806,7040,9009,"CT","New Haven","23",2022
"H5273",1,7010,9003,"CT","Hartford","1778",2022
"H5273",1,7020,9005,"CT","Litchfield","222",2022
"H5273",1,7030,9007,"CT","Middlesex","158",2022
"H5273",1,7040,9009,"CT","New Haven","444",2022
"H5273",1,7050,9011,"CT","New London","402",2022
"H5273",1,7060,9013,"CT","Tolland","420",2022
"H5273",1,7070,9015,"CT","Windham","238",2022
"H5273",2,7010,9003,"CT","Hartford","193",2022
"H5273",2,7020,9005,"CT","Litchfield","23",2022
"H5273",2,7040,9009,"CT","New Haven","66",2022
"H5273",2,7050,9011,"CT","New London","61",2022
"H5273",2,7060,9013,"CT","Tolland","42",2022
"H5273",2,7070,9015,"CT","Windham","29",2022
"H5521",13,7000,9001,"CT","Fairfield","751",2022
"H5521",13,7010,9003,"CT","Hartford","373",2022
"H5521",13,7020,9005,"CT","Litchfield","180",2022
"H5521",13,7030,9007,"CT","Middlesex","37",2022
"H5521",13,7040,9009,"CT","New Haven","673",2022
"H5521",13,7050,9011,"CT","New London","39",2022
"H5521",13,7060,9013,"CT","Tolland","47",2022
"H5521",13,7070,9015,"CT","Windham","15",2022
"H5521",157,7000,9001,"CT","Fairfield","7592",2022
"H5521",157,7010,9003,"CT","Hartford","6131",2022
"H5521",157,7020,9005,"CT","Litchfield","2825",2022
"H5521",157,7030,9007,"CT","Middlesex","1070",2022
"H5521",157,7040,9009,"CT","New Haven","9416",2022
"H5521",157,7050,9011,"CT","New London","1137",2022
"H5521",157,7060,9013,"CT","Tolland","1130",2022
"H5521",157,7070,9015,"CT","Windham","648",2022
"H5521",272,7040,9009,"CT","New Haven","14",2022
"H5521",350,7000,9001,"CT","Fairfield","41",2022
"H5521",350,7010,9003,"CT","Hartford","29",2022
"H5521",350,7020,9005,"CT","Litchfield","18",2022
"H5521",350,7040,9009,"CT","New Haven","37",2022
"H5521",350,7050,9011,"CT","New London","27",2022
"H5521",350,7070,9015,"CT","Windham","11",2022
"H5521",352,7000,9001,"CT","Fairfield","3281",2022
"H5521",352,7010,9003,"CT","Hartford","3007",2022
"H5521",352,7020,9005,"CT","Litchfield","1116",2022
"H5521",352,7030,9007,"CT","Middlesex","509",2022
"H5521",352,7040,9009,"CT","New Haven","4152",2022
"H5521",352,7050,9011,"CT","New London","469",2022
"H5521",352,7060,9013,"CT","Tolland","332",2022
"H5521",352,7070,9015,"CT","Windham","195",2022
"H5521",801,7000,9001,"CT","Fairfield","1205",2022
"H5521",801,7010,9003,"CT","Hartford","573",2022
"H5521",801,7020,9005,"CT","Litchfield","248",2022
"H5521",801,7030,9007,"CT","Middlesex","295",2022
"H5521",801,7040,9009,"CT","New Haven","4186",2022
"H5521",801,7050,9011,"CT","New London","171",2022
"H5521",801,7060,9013,"CT","Tolland","38",2022
"H5521",801,7070,9015,"CT","Windham","39",2022
"H5521",802,7000,9001,"CT","Fairfield","968",2022
"H5521",802,7010,9003,"CT","Hartford","1680",2022
"H5521",802,7020,9005,"CT","Litchfield","188",2022
"H5521",802,7030,9007,"CT","Middlesex","258",2022
"H5521",802,7040,9009,"CT","New Haven","533",2022
"H5521",802,7050,9011,"CT","New London","299",2022
"H5521",802,7060,9013,"CT","Tolland","270",2022
"H5521",802,7070,9015,"CT","Windham","161",2022
"H5521",812,7010,9003,"CT","Hartford","20",2022
"H5521",812,7030,9007,"CT","Middlesex","12",2022
"H5521",812,7040,9009,"CT","New Haven","14",2022
"H5793",1,7000,9001,"CT","Fairfield","222",2022
"H5793",1,7010,9003,"CT","Hartford","536",2022
"H5793",1,7020,9005,"CT","Litchfield","276",2022
"H5793",1,7040,9009,"CT","New Haven","213",2022
"H5793",1,7050,9011,"CT","New London","16",2022
"H5793",1,7060,9013,"CT","Tolland","53",2022
"H5793",10,7000,9001,"CT","Fairfield","926",2022
"H5793",10,7010,9003,"CT","Hartford","652",2022
"H5793",10,7020,9005,"CT","Litchfield","245",2022
"H5793",10,7030,9007,"CT","Middlesex","40",2022
"H5793",10,7040,9009,"CT","New Haven","1452",2022
"H5793",10,7050,9011,"CT","New London","77",2022
"H5793",10,7060,9013,"CT","Tolland","77",2022
"H5793",10,7070,9015,"CT","Windham","26",2022
"H5793",17,7000,9001,"CT","Fairfield","1407",2022
"H5793",17,7010,9003,"CT","Hartford","1745",2022
"H5793",17,7020,9005,"CT","Litchfield","470",2022
"H5793",17,7030,9007,"CT","Middlesex","229",2022
"H5793",17,7040,9009,"CT","New Haven","2048",2022
"H5793",17,7050,9011,"CT","New London","408",2022
"H5793",17,7060,9013,"CT","Tolland","137",2022
"H5793",17,7070,9015,"CT","Windham","225",2022
"H5854",7,7010,9003,"CT","Hartford","350",2022
"H5854",8,7000,9001,"CT","Fairfield","549",2022
"H5854",8,7010,9003,"CT","Hartford","795",2022
"H5854",8,7020,9005,"CT","Litchfield","148",2022
"H5854",8,7030,9007,"CT","Middlesex","122",2022
"H5854",8,7040,9009,"CT","New Haven","869",2022
"H5854",8,7050,9011,"CT","New London","134",2022
"H5854",8,7060,9013,"CT","Tolland","81",2022
"H5854",8,7070,9015,"CT","Windham","78",2022
"H5854",9,7000,9001,"CT","Fairfield","321",2022
"H5854",9,7020,9005,"CT","Litchfield","71",2022
"H5854",9,7030,9007,"CT","Middlesex","34",2022
"H5854",9,7040,9009,"CT","New Haven","374",2022
"H5854",9,7070,9015,"CT","Windham","30",2022
"H5854",10,7000,9001,"CT","Fairfield","1512",2022
"H5854",10,7010,9003,"CT","Hartford","1711",2022
"H5854",10,7020,9005,"CT","Litchfield","517",2022
"H5854",10,7030,9007,"CT","Middlesex","491",2022
"H5854",10,7040,9009,"CT","New Haven","2664",2022
"H5854",10,7070,9015,"CT","Windham","230",2022
"H5854",11,7000,9001,"CT","Fairfield","319",2022
"H5854",11,7010,9003,"CT","Hartford","415",2022
"H5854",11,7020,9005,"CT","Litchfield","86",2022
"H5854",11,7030,9007,"CT","Middlesex","86",2022
